type,name,title,department,img,link
staff,Devin Becker,"Director, CDIL",University of Idaho Library,assets/img/headshots/becker.jpg,https://vivo.nkn.uidaho.edu/vivo/display/n8136
staff,Evan Williamson,Digital Infrastructure Librarian,University of Idaho Library,assets/img/headshots/williamson.jpg,https://vivo.nkn.uidaho.edu/vivo/display/n43629
staff,Olivia Wikle,Digital Initiatives Librarian,University of Idaho Library,assets/img/headshots/wikle.jpg,https://vivo.nkn.uidaho.edu/vivo/display/n263285
faculty,
student,
collaborators,
